,Rank,Release Year,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
53,"4,173",1984,The Muppets Take Manhattan,"$25,534,703","$25,534,703",$0
54,"4,174",1981,Halloween II,"$25,533,818","$25,533,818",$0
55,"4,175",1995,Desperado,"$25,532,388","$25,532,388",$0
56,"4,176",2018,"Paul, Apostle of Christ","$25,529,498","$17,547,999","$7,981,499"
57,"4,177",2012,Talaash,"$25,522,290","$2,706,375","$22,815,915"
58,"4,178",1997,Mimic,"$25,514,166","$25,514,166",$0
59,"4,179",2007,A Tale of Mari and Three Puppies,"$25,513,520",$0,"$25,513,520"
60,"4,180",2019,No Manches Frida 2,"$25,507,530","$9,270,920","$16,236,610"
61,"4,181",1984,A Nightmare on Elm Street,"$25,504,513","$25,504,513",$0
62,"4,182",2018,Rangasthalam,"$25,495,478",$0,"$25,495,478"
63,"4,183",2011,Elle s'appelait Sarah,"$25,480,031","$7,691,700","$17,788,331"
64,"4,184",1994,My Father the Hero,"$25,479,558","$25,479,558",$0
65,"4,185",2017,Jolly LLB 2,"$25,461,514","$1,654,254","$23,807,260"
66,"4,186",1995,Billy Madison,"$25,460,475","$25,460,475",$0
67,"4,187",2013,The Last Exorcism Part II,"$25,448,707","$15,179,303","$10,269,404"
68,"4,188",2015,Triumph in the Skies,"$25,441,760",$0,"$25,441,760"
69,"4,189",1996,Escape from L.A.,"$25,426,861","$25,426,861",$0
70,"4,190",2017,Badrinath Ki Dulhania,"$25,423,917","$1,993,259","$23,430,658"
71,"4,191",2012,éæ (Jik zin),"$25,414,221",$0,"$25,414,221"
72,"4,192",1987,Tin Men,"$25,411,386","$25,411,386",$0
73,"4,193",2016,Mr. Donkey,"$25,404,570","$356,255","$25,048,315"
74,"4,194",2007,Persepolis,"$25,397,187","$4,443,403","$20,953,784"
75,"4,195",2015,Aloha,"$25,387,091","$21,052,030","$4,335,061"
76,"4,196",2003,In America,"$25,382,911","$15,539,656","$9,843,255"
77,"4,197",1961,The Absent Minded Professor,"$25,381,407","$25,381,407",$0
78,"4,198",2008,Women's Team Handball,"$25,377,585",$0,"$25,377,585"
79,"4,199",1996,In Love and War,"$25,372,294","$14,481,231","$10,891,063"
80,"4,200",2012,The Cold Light of Day,"$25,361,206","$3,763,583","$21,597,623"
1,"4,201",1998,Can't Hardly Wait,"$25,358,996","$25,358,996",$0
2,"4,202",2007,The Last Legion,"$25,357,771","$5,932,060","$19,425,711"
3,"4,203",2016,Whiskey Tango Foxtrot,"$25,350,747","$23,083,334","$2,267,413"
4,"4,204",2002,25th Hour,"$25,344,490","$13,084,595","$12,259,895"
5,"4,205",1965,The Great Race,"$25,333,333","$25,333,333",$0
6,"4,206",2014,Tinker Bell and the Legend of the Neverbeast,"$25,320,246",$0,"$25,320,246"
7,"4,207",1986,Heartburn,"$25,314,289","$25,314,289",$0
8,"4,208",1998,Fallen,"$25,310,938","$25,310,938",$0
9,"4,209",2012,Xi Yang Yang Yu Hui Tai Lang Zhi Kaixin Chuang …,"$25,310,000",$0,"$25,310,000"
10,"4,210",1984,The Woman in Red,"$25,308,147","$25,308,147",$0
11,"4,211",2012,Le prÃ©nom,"$25,307,405","$61,611","$25,245,794"
12,"4,212",2015,Er ist wieder da,"$25,283,394",$0,"$25,283,394"
13,"4,213",2005,Bride & Prejudice,"$25,269,040","$6,601,079","$18,667,961"
14,"4,214",2012,Big Miracle,"$25,268,680","$20,157,300","$5,111,380"
15,"4,215",1963,Irma La Douce,"$25,246,588","$25,246,588",$0
16,"4,216",1981,Escape from New York,"$25,245,925","$25,244,700","$1,225"
17,"4,217",2003,The Magdalene Sisters,"$25,218,042","$4,890,878","$20,327,164"
18,"4,218",1988,Alien Nation,"$25,216,243","$25,216,243",$0
19,"4,219",1982,Sophie's Choice,"$25,215,547","$25,215,547",$0
20,"4,220",1987,Black Widow,"$25,205,460","$25,205,460",$0
1,"4,221",2014,Grace of Monaco,"$25,199,891",$0,"$25,199,891"
2,"4,222",2008,Race,"$25,195,835","$1,367,024","$23,828,811"
3,"4,223",2014,Mr. Turner,"$25,187,026","$3,958,546","$21,228,480"
4,"4,224",1986,The Morning After,"$25,147,055","$25,147,055",$0
5,"4,225",2011,QiÃ n NÇ YÅu HÃºn,"$25,141,990",$0,"$25,141,990"
6,"4,226",2015,Bride Wars,"$25,130,000",$0,"$25,130,000"
7,"4,227",1991,Don't Tell Mom the Babysitter's Dead,"$25,122,195","$25,122,195",$0
8,"4,228",2001,Corky Romano,"$25,116,103","$23,978,402","$1,137,701"
9,"4,229",2005,Cursed,"$25,114,901","$19,294,901","$5,820,000"
10,"4,230",1991,Problem Child 2,"$25,104,700","$25,104,700",$0
11,"4,231",1984,Moscow on the Hudson,"$25,100,000","$25,100,000",$0
12,"4,232",1984,Against All Odds,"$25,100,000","$25,100,000",$0
13,"4,233",1993,In the Name of the Father,"$25,096,862","$25,096,862",$0
14,"4,234",1997,Midnight in the Garden of Good and Evil,"$25,078,937","$25,078,937",$0
15,"4,235",1999,The Wood,"$25,059,640","$25,059,640",$0
16,"4,236",1994,Wyatt Earp,"$25,052,000","$25,052,000",$0
17,"4,237",2011,Ivan Tsarevich i Seryy Volk,"$25,047,727",$0,"$25,047,727"
18,"4,238",2008,Mad Money,"$25,044,057","$20,668,843","$4,375,214"
19,"4,239",2016,Call of Heroes,"$25,040,561",$0,"$25,040,561"
20,"4,240",2013,Te shu shen fen,"$25,040,000",$0,"$25,040,000"
21,"4,241",2016,Born in China,"$25,037,743","$13,873,211","$11,164,532"
22,"4,242",1981,Mommie Dearest,"$25,032,000","$19,032,000","$6,000,000"
23,"4,243",1990,Ernest Goes to Jail,"$25,029,569","$25,029,569",$0
24,"4,244",1959,Some Like it Hot,"$25,019,542","$25,000,000","$19,542"
25,"4,245",1990,The Exorcist III,"$25,011,739","$25,011,739",$0
26,"4,246",1999,A Midsummer Night's Dream,"$25,011,645","$16,071,990","$8,939,655"
27,"4,247",1977,Exorcist II: The Heretic,"$25,011,000","$25,011,000",$0
28,"4,248",1982,Airplane II: The Sequel,"$25,009,494","$25,009,494",$0
29,"4,249",1974,Thunderbolt and Lightfoot,"$25,000,000","$25,000,000",$0
30,"4,250",1976,Logan's Run,"$25,000,000","$25,000,000",$0
31,"4,251",1969,The Stewardesses,"$25,000,000","$13,500,000","$11,500,000"
32,"4,252",1991,Little Man Tate,"$24,989,789","$24,989,789",$0
33,"4,253",2015,Les Profs 2,"$24,964,590",$0,"$24,964,590"
34,"4,254",1978,Invasion of the Body Snatchers,"$24,946,533","$24,946,533",$0
35,"4,255",2019,Don,"$24,945,222","$155,732","$24,789,490"
36,"4,256",1985,Fright Night,"$24,922,237","$24,922,237",$0
37,"4,257",1970,Catch-22,"$24,911,670","$24,911,670",$0
38,"4,258",2007,Before the Devil Knows You're Dead,"$24,909,088","$7,085,511","$17,823,577"
39,"4,259",2006,Kurtlar vadisi - Irak,"$24,906,717",$0,"$24,906,717"
40,"4,260",2008,Recep Ivedik,"$24,878,340",$0,"$24,878,340"
41,"4,261",2016,SoulMate,"$24,859,900",$0,"$24,859,900"
42,"4,262",1990,Navy SEALs,"$24,824,126","$24,824,126",$0
43,"4,263",2011,Monsieur Lazhar,"$24,819,901","$3,371,810","$21,448,091"
44,"4,264",2012,Tai Chi Zero,"$24,790,553","$212,094","$24,578,459"
45,"4,265",1994,Quiz Show,"$24,787,282","$24,787,282",$0
46,"4,266",2010,Tees Maar Khan,"$24,785,571","$1,076,266","$23,709,305"
47,"4,267",2012,De l'autre cÃ´tÃ© du pÃ©riph,"$24,782,953","$8,689","$24,774,264"
48,"4,268",2013,Nebraska,"$24,761,360","$17,654,912","$7,106,448"
49,"4,269",1993,The Man Without a Face,"$24,760,338","$24,760,338",$0
50,"4,270",2015,To the Fore,"$24,745,722",$0,"$24,745,722"
51,"4,271",2012,Hitchcock,"$24,742,844","$6,008,677","$18,734,167"
52,"4,272",2007,Bushi no ichibun,"$24,724,488","$60,910","$24,663,578"
53,"4,273",1988,Gorillas in the Mist,"$24,720,479","$24,720,479",$0
54,"4,274",2010,Lottery Ticket,"$24,719,879","$24,719,879",$0
55,"4,275",2004,Seed of Chucky,"$24,716,190","$17,016,190","$7,700,000"
56,"4,276",2011,Biutiful,"$24,687,524","$5,101,237","$19,586,287"
57,"4,277",1985,Summer Rental,"$24,671,000","$24,671,000",$0
58,"4,278",1995,Operation Dumbo Drop,"$24,670,346","$24,670,346",$0
59,"4,279",2012,Sparkle,"$24,660,323","$24,397,469","$262,854"
60,"4,280",1977,The Other Side of Midnight,"$24,652,021","$24,652,021",$0
61,"4,281",2016,Snezhnaya koroleva 3. Ogon i led,"$24,615,950",$0,"$24,615,950"
62,"4,282",1982,Mad Max 2: The Road Warrior,"$24,600,832","$24,600,832",$0
63,"4,283",1960,The Apartment,"$24,600,000","$18,600,000","$6,000,000"
64,"4,284",2002,Punch-Drunk Love,"$24,591,031","$17,791,031","$6,800,000"
65,"4,285",2017,Only the Brave,"$24,555,177","$18,340,051","$6,215,126"
66,"4,286",2001,Joe Somebody,"$24,515,990","$22,770,864","$1,745,126"
67,"4,287",2007,In the Valley of Elah,"$24,489,150","$6,777,741","$17,711,409"
68,"4,288",1973,Jesus Christ Superstar,"$24,477,615","$24,477,615",$0
69,"4,289",2015,Babysitting 2,"$24,476,064",$0,"$24,476,064"
70,"4,290",2011,I Don't Know How She Does It,"$24,474,463","$9,659,074","$14,815,389"
71,"4,291",1981,Modern Problems,"$24,474,312","$24,474,312",$0
72,"4,292",1985,The Emerald Forest,"$24,468,550","$24,468,550",$0
73,"4,293",1946,Notorious,"$24,464,742","$24,464,742",$0
74,"4,294",2011,Pina,"$24,460,758","$3,520,458","$20,940,300"
75,"4,295",2017,A Cure for Wellness,"$24,456,980","$8,106,986","$16,349,994"
76,"4,296",1975,Lucky Lady,"$24,441,725","$24,441,725",$0
77,"4,297",2011,Jodaeiye Nader az Simin,"$24,426,169","$7,098,492","$17,327,677"
78,"4,298",1999,Arlington Road,"$24,419,219","$24,419,219",$0
79,"4,299",2019,The Queen's Corgi,"$24,415,000",$0,"$24,415,000"
80,"4,300",1967,In the Heat of the Night,"$24,407,647","$24,379,978","$27,669"
1,"4,301",2001,The Shipping News,"$24,405,825","$11,405,825","$13,000,000"
2,"4,302",2015,Bou Chau Mai Sing,"$24,405,298","$32,053","$24,373,245"
3,"4,303",2009,Tsurugidake: Ten no Ki,"$24,405,079",$0,"$24,405,079"
4,"4,304",2016,The Founder,"$24,403,192","$12,786,053","$11,617,139"
5,"4,305",2018,Geugeotmani Nae Sesang,"$24,376,704",$0,"$24,376,704"
6,"4,306",2007,Vacancy,"$24,363,007","$19,063,007","$5,300,000"
7,"4,307",2000,The Next Best Thing,"$24,355,762","$14,983,572","$9,372,190"
8,"4,308",2012,Huang Jin Da Jie An,"$24,350,000",$0,"$24,350,000"
9,"4,309",2003,The In-Laws,"$24,345,659","$20,440,627","$3,905,032"
10,"4,310",2017,8-nengoshi no hanayome,"$24,326,715",$0,"$24,326,715"
11,"4,311",2016,The Choice,"$24,324,476","$18,730,891","$5,593,585"
12,"4,312",2009,Kambakkht Ishq,"$24,320,181","$1,455,739","$22,864,442"
13,"4,313",2015,Ooops! Noah is Gone,"$24,285,049",$0,"$24,285,049"
14,"4,314",2011,Eiga Kaibutsu-kun,"$24,266,083",$0,"$24,266,083"
15,"4,315",1980,Bronco Billy,"$24,265,659","$24,265,659",$0
16,"4,316",1995,Dolores Claiborne,"$24,262,193","$24,262,193",$0
17,"4,317",2016,Camping 3,"$24,224,580",$0,"$24,224,580"
18,"4,318",2016,M.S. Dhoni: The Untold Story,"$24,218,678","$1,801,550","$22,417,128"
19,"4,319",2011,Warrior,"$24,215,385","$13,657,115","$10,558,270"
20,"4,320",2018,Manyeo,"$24,214,410",$0,"$24,214,410"
1,"4,321",1991,The People Under the Stairs,"$24,204,000","$24,204,000",$0
2,"4,322",1994,Renaissance Man,"$24,172,899","$24,172,899",$0
3,"4,323",2012,Wanderlust,"$24,159,934","$17,288,155","$6,871,779"
4,"4,324",1986,Iron Eagle,"$24,159,872","$24,159,872",$0
5,"4,325",2003,The Guru,"$24,150,550","$3,051,221","$21,099,329"
6,"4,326",2016,Rock Dog,"$24,148,488","$9,420,546","$14,727,942"
7,"4,327",2011,Anfea: The Answer,"$24,136,016",$0,"$24,136,016"
8,"4,328",1995,Dead Presidents,"$24,120,194","$24,120,194",$0
9,"4,329",2017,Detroit,"$24,116,323","$16,790,139","$7,326,184"
10,"4,330",1993,The Adventures of Huck Finn,"$24,103,594","$24,103,594",$0
11,"4,331",1983,Spring Break,"$24,071,666","$24,071,666",$0
12,"4,332",2005,Ong-Bak,"$24,062,965","$4,563,167","$19,499,798"
13,"4,333",1981,Body Heat,"$24,058,000","$24,058,000",$0
14,"4,334",2015,The Dressmaker,"$24,041,617","$2,022,115","$22,019,502"
15,"4,335",2003,Swimming Pool,"$24,021,282","$10,130,108","$13,891,174"
16,"4,336",2015,Youth,"$24,001,573","$2,703,296","$21,298,277"
17,"4,337",1978,Damien: Omen II,"$24,000,000","$24,000,000",$0
18,"4,338",1978,An Unmarried Woman,"$24,000,000","$24,000,000",$0
19,"4,339",1995,Virtuosity,"$23,998,226","$23,998,226",$0
20,"4,340",2002,Adrenaline Rush: The Science of Risk,"$23,970,431","$16,933,791","$7,036,640"
21,"4,341",1991,Class Action,"$23,968,042","$23,968,042",$0
22,"4,342",2018,Campeones,"$23,948,012",$0,"$23,948,012"
23,"4,343",2018,Kensatsu gawa no zainin,"$23,929,620",$0,"$23,929,620"
24,"4,344",2018,Natsume's Book of Friends The Movie: Tied to th…,"$23,913,019",$0,"$23,913,019"
25,"4,345",2004,The Alamo,"$23,911,362","$22,406,362","$1,505,000"
26,"4,346",2014,The Railway Man,"$23,910,210","$4,438,438","$19,471,772"
27,"4,347",1981,Graduation Day,"$23,894,000","$23,894,000",$0
28,"4,348",2001,Life as a House,"$23,889,158","$15,652,637","$8,236,521"
29,"4,349",1984,The Flamingo Kid,"$23,859,382","$23,859,382",$0
30,"4,350",2016,Hunt for the Wilderpeople,"$23,845,533","$5,205,471","$18,640,062"
31,"4,351",2013,Bei Tou Zou De Wu Nian,"$23,840,000",$0,"$23,840,000"
32,"4,352",1995,Tom and Huck,"$23,837,227","$23,837,227",$0
33,"4,353",2018,Tamjeong 2,"$23,832,011",$0,"$23,832,011"
34,"4,354",2007,Lissi und der wilde Kaiser,"$23,828,403",$0,"$23,828,403"
35,"4,355",2012,Da Shang Hai,"$23,824,720",$0,"$23,824,720"
36,"4,356",1978,Magic,"$23,800,000","$23,800,000",$0
37,"4,357",1953,House of Wax,"$23,800,000","$23,800,000",$0
38,"4,358",1978,Beyond and Back,"$23,800,000","$23,800,000",$0
39,"4,359",1993,Striking Distance,"$23,798,623","$23,798,623",$0
40,"4,360",2015,Amy,"$23,778,585","$8,413,144","$15,365,441"
41,"4,361",2016,Race,"$23,745,772","$19,115,191","$4,630,581"
42,"4,362",2003,Dickie Roberts: Former Child Star,"$23,734,486","$22,734,486","$1,000,000"
43,"4,363",2016,Silence,"$23,726,626","$7,100,177","$16,626,449"
44,"4,364",2008,"OSS 117: Le Caire, nid d'espions","$23,726,439","$303,328","$23,423,111"
45,"4,365",1985,Santa Claus,"$23,717,291","$23,717,291",$0
46,"4,366",1997,Good Burger,"$23,712,993","$23,712,993",$0
47,"4,367",1983,Two of a Kind,"$23,700,000","$23,700,000",$0
48,"4,368",2003,In the Cut,"$23,693,646","$4,717,455","$18,976,191"
49,"4,369",1976,Network,"$23,689,877","$23,689,877",$0
50,"4,370",1984,Sixteen Candles,"$23,686,027","$23,686,027",$0
51,"4,371",1970,The Owl and the Pussycat,"$23,681,338","$23,681,338",$0
52,"4,372",2005,North Country,"$23,676,771","$18,324,242","$5,352,529"
53,"4,373",2009,Armored,"$23,661,038","$15,988,876","$7,672,162"
54,"4,374",2009,Love Aaj Kal,"$23,657,432","$2,430,083","$21,227,349"
55,"4,375",2006,Russian Dolls,"$23,654,241","$326,095","$23,328,146"
56,"4,376",2002,Eight Crazy Nights,"$23,607,202","$23,607,202",$0
57,"4,377",1986,The Great Mouse Detective,"$23,605,534","$23,605,534",$0
58,"4,378",1995,How to Make an American Quilt,"$23,600,020","$23,600,020",$0
59,"4,379",1946,The Best Years of Our Lives,"$23,600,000","$23,600,000",$0
60,"4,380",2013,Baksoogundal,"$23,593,168",$0,"$23,593,168"
61,"4,381",2005,Hustle & Flow,"$23,591,783","$22,202,809","$1,388,974"
62,"4,382",1990,My Blue Heaven,"$23,591,472","$23,591,472",$0
63,"4,383",2016,Kevin Hart: What Now?,"$23,591,043","$23,591,043",$0
64,"4,384",2005,Domino,"$23,574,057","$10,169,202","$13,404,855"
65,"4,385",1991,Oscar,"$23,562,716","$23,562,716",$0
66,"4,386",2016,Godâs Not Dead 2,"$23,551,286","$20,773,069","$2,778,217"
67,"4,387",2015,Solace,"$23,549,031",$0,"$23,549,031"
68,"4,388",2016,No Manches Frida,"$23,540,937","$11,528,613","$12,012,324"
69,"4,389",2007,The Invisible,"$23,540,266","$20,568,319","$2,971,947"
70,"4,390",2015,Peng ran xin dong,"$23,516,430","$212,508","$23,303,922"
71,"4,391",1987,Ernest Goes to Camp,"$23,509,382","$23,509,382",$0
72,"4,392",1986,Legend,"$23,506,237","$15,502,112","$8,004,125"
73,"4,393",2012,Xiao Shi De Zi Dan,"$23,490,000",$0,"$23,490,000"
74,"4,394",1997,Hoodlum,"$23,489,997","$23,489,997",$0
75,"4,395",2017,Wish Upon,"$23,477,345","$14,301,505","$9,175,840"
76,"4,396",2006,Chinjeolhan geumjassi,"$23,471,871","$211,667","$23,260,204"
77,"4,397",2008,Il y a longtemps que je t'aime,"$23,456,628","$3,169,305","$20,287,323"
78,"4,398",1994,Hum Aapke Hain Kaun...!,"$23,450,000",$0,"$23,450,000"
79,"4,399",2018,Inori no maku ga oriru toki,"$23,450,000",$0,"$23,450,000"
80,"4,400",2011,Moteki,"$23,442,024",$0,"$23,442,024"
1,"4,401",2016,Gwi-Hyang,"$23,427,657","$123,704","$23,303,953"
2,"4,402",1995,Boys on the Side,"$23,418,200","$23,418,200",$0
3,"4,403",1990,Henry & June,"$23,411,903","$11,011,903","$12,400,000"
4,"4,404",1980,Caligula,"$23,400,000","$23,400,000",$0
5,"4,405",2013,Du zhan,"$23,396,698","$128,195","$23,268,503"
6,"4,406",2001,Kingdom Come,"$23,393,939","$23,247,539","$146,400"
7,"4,407",1995,Circle of Friends,"$23,389,975","$23,389,975",$0
8,"4,408",1980,Raging Bull,"$23,380,203","$23,380,203",$0
9,"4,409",2002,Antwone Fisher,"$23,367,586","$21,078,145","$2,289,441"
10,"4,410",2000,Reindeer Games,"$23,360,779","$23,360,779",$0
11,"4,411",2011,Hoodwinked Too: Hood vs. Evil,"$23,353,111","$10,143,779","$13,209,332"
12,"4,412",2010,Soul Kitchen,"$23,347,461","$276,901","$23,070,560"
13,"4,413",2016,Bad Santa 2,"$23,345,113","$17,782,176","$5,562,937"
14,"4,414",2007,Once,"$23,323,631","$9,445,857","$13,877,774"
15,"4,415",2016,Middle School: The Worst Years of My Life,"$23,311,293","$20,007,149","$3,304,144"
16,"4,416",1959,Operation Petticoat,"$23,300,000","$23,300,000",$0
17,"4,417",1958,Auntie Mame,"$23,300,000","$23,300,000",$0
18,"4,418",2011,Les femmes du 6Ã¨me Ã©tage,"$23,295,831","$733,294","$22,562,537"
19,"4,419",2008,La misma luna,"$23,271,741","$12,590,147","$10,681,594"
20,"4,420",2007,[Rec],"$23,266,821",$0,"$23,266,821"
1,"4,421",2012,Beasts of the Southern Wild,"$23,265,132","$12,795,746","$10,469,386"
2,"4,422",2012,Turkisch fur Anfanger,"$23,256,073",$0,"$23,256,073"
3,"4,423",2013,Before Midnight,"$23,251,930","$8,110,621","$15,141,309"
4,"4,424",2015,It Follows,"$23,250,755","$14,674,077","$8,576,678"
5,"4,425",2016,Free State of Jones,"$23,237,252","$20,810,036","$2,427,216"
6,"4,426",2013,Kuai Le Dao Jia,"$23,210,000",$0,"$23,210,000"
7,"4,427",1993,Benny & Joon,"$23,202,734","$23,202,734",$0
8,"4,428",1980,Seems Like Old Times,"$23,200,000","$23,200,000",$0
9,"4,429",2017,CHiPS,"$23,190,292","$18,600,152","$4,590,140"
10,"4,430",2006,Stay Alive,"$23,187,506","$23,086,480","$101,026"
11,"4,431",1974,Chinatown,"$23,169,837","$23,169,837",$0
12,"4,432",2006,Joyeux NoÃ«l,"$23,134,075","$1,054,361","$22,079,714"
13,"4,433",1992,The Cutting Edge,"$23,131,735","$23,131,735",$0
14,"4,434",2018,New Happy Dad and Son 3: Adventure in Russia,"$23,130,468",$0,"$23,130,468"
15,"4,435",2019,Missing Link,"$23,120,664","$16,215,317","$6,905,347"
16,"4,436",1998,The Players Club,"$23,047,939","$23,047,939",$0
17,"4,437",2002,Super Troopers,"$23,046,142","$18,492,362","$4,553,780"
18,"4,438",1993,The Program,"$23,042,200","$23,042,200",$0
19,"4,439",1979,The Wanderers,"$23,017,811","$5,017,811","$18,000,000"
20,"4,440",2010,"I Love You, Phillip Morris","$23,014,027","$2,037,459","$20,976,568"
21,"4,441",2003,Bulletproof Monk,"$23,010,607","$23,010,607",$0
22,"4,442",1990,Ghost Dad,"$23,007,150","$23,007,150",$0
23,"4,443",1978,"Same Time, Next Year","$23,000,000","$23,000,000",$0
24,"4,444",2002,Lewis & Clark: Great Journey West,"$23,000,000",$0,"$23,000,000"
25,"4,445",1990,The Russia House,"$22,998,000","$22,998,000",$0
26,"4,446",2006,Aquamarine,"$22,978,953","$18,597,342","$4,381,611"
27,"4,447",2011,African Cats,"$22,946,607","$15,428,747","$7,517,860"
28,"4,448",1969,"Goodbye, Columbus","$22,939,805","$22,939,805",$0
29,"4,449",1996,D3: The Mighty Ducks,"$22,936,273","$22,936,273",$0
30,"4,450",1985,The Care Bears Movie,"$22,934,000","$22,934,000",$0
31,"4,451",1998,Rounders,"$22,921,898","$22,921,898",$0
32,"4,452",2013,La Vie d'AdÃ¨le â Chapitres 1 & 2,"$22,914,479","$2,450,504","$20,463,975"
33,"4,453",2004,Ella Enchanted,"$22,913,677","$22,913,677",$0
34,"4,454",2008,The Ruins,"$22,910,563","$17,432,844","$5,477,719"
35,"4,455",1986,Crimes of the Heart,"$22,905,000","$22,905,000",$0
36,"4,456",2018,Stan & Ollie,"$22,898,925","$5,467,770","$17,431,155"
37,"4,457",2013,Baggage Claim,"$22,885,836","$21,569,509","$1,316,327"
38,"4,458",1999,Lola rennt,"$22,879,194","$7,267,324","$15,611,870"
39,"4,459",2001,The Glass House,"$22,861,785","$17,951,431","$4,910,354"
40,"4,460",2007,Alatriste,"$22,860,477",$0,"$22,860,477"
41,"4,461",2012,Bu-reo-jin hwa-sal,"$22,852,811",$0,"$22,852,811"
42,"4,462",1998,Beloved,"$22,852,487","$22,852,487",$0
43,"4,463",2008,Paris,"$22,850,194","$1,010,194","$21,840,000"
44,"4,464",1987,Raising Arizona,"$22,847,000","$22,847,000",$0
45,"4,465",2018,Wonât You Be My Neighbor?,"$22,845,599","$22,835,787","$9,812"
46,"4,466",2009,A Perfect Getaway,"$22,815,460","$15,515,460","$7,300,000"
47,"4,467",1984,Missing in Action,"$22,812,411","$22,812,411",$0
48,"4,468",2000,Dr. T and the Women,"$22,796,811","$13,065,561","$9,731,250"
49,"4,469",1991,Frankie and Johnny,"$22,773,535","$22,773,535",$0
50,"4,470",1980,Xanadu,"$22,762,571","$22,762,571",$0
51,"4,471",2002,Santa vs. The Snowman,"$22,759,134","$10,259,134","$12,500,000"
52,"4,472",2007,Le Scaphandre et le Papillon,"$22,754,472","$5,990,075","$16,764,397"
53,"4,473",1993,Rudy,"$22,750,363","$22,750,363",$0
54,"4,474",2011,Young Adult,"$22,750,356","$16,311,571","$6,438,785"
55,"4,475",2016,Radin!,"$22,748,811",$0,"$22,748,811"
56,"4,476",2012,Polisse,"$22,744,132","$176,988","$22,567,144"
57,"4,477",1996,The Juror,"$22,730,924","$22,730,924",$0
58,"4,478",2008,Desu Noto 3: L: Change the World,"$22,730,665",$0,"$22,730,665"
59,"4,479",2012,Raia Gemu Saisei,"$22,713,078",$0,"$22,713,078"
60,"4,480",2009,The Accidental Husband,"$22,707,064",$0,"$22,707,064"
61,"4,481",1992,Prelude to a Kiss,"$22,697,691","$20,006,730","$2,690,961"
62,"4,482",2019,ShÃ©ntÃ n pÃºsÅng lÃ­ng,"$22,687,180",$0,"$22,687,180"
63,"4,483",2017,Extraordinary Mission,"$22,682,660",$0,"$22,682,660"
64,"4,484",1979,Prophecy,"$22,673,340","$22,673,340",$0
65,"4,485",1992,Thunderheart,"$22,660,758","$22,660,758",$0
66,"4,486",2016,Xia You Qiao Mu,"$22,655,723","$31,538","$22,624,185"
67,"4,487",2017,Ai Kaen Seupikeu,"$22,645,503",$0,"$22,645,503"
68,"4,488",1987,Revenge of the Nerds II: Nerds in Paradise,"$22,642,033","$22,642,033",$0
69,"4,489",1991,Pure Luck,"$22,641,969","$22,641,969",$0
70,"4,490",2018,Gekijouban Poketto monsutÃ¢: Minna no Monogatari,"$22,630,448",$0,"$22,630,448"
71,"4,491",1993,Guilty as Sin,"$22,622,537","$22,622,537",$0
72,"4,492",2013,Seupai,"$22,614,450",$0,"$22,614,450"
73,"4,493",1981,The French Lieutenant's Woman,"$22,600,000","$22,600,000",$0
74,"4,494",2013,Bullet to the Head,"$22,597,969","$9,489,829","$13,108,140"
75,"4,495",2013,Trance,"$22,594,052","$2,322,593","$20,271,459"
76,"4,496",1999,Drive Me Crazy,"$22,591,451","$17,843,379","$4,748,072"
77,"4,497",1983,My Tutor,"$22,587,000","$22,587,000",$0
78,"4,498",1973,The World's Greatest Athlete,"$22,583,370","$22,583,370",$0
79,"4,499",1966,"Lt. Robin Crusoe, U.S.N.","$22,565,634","$22,565,634",$0
80,"4,500",1993,Much Ado About Nothing,"$22,549,338","$22,549,338",$0
1,"4,501",1991,Lionheart,"$22,545,360","$22,545,360",$0
2,"4,502",1982,Victor/Victoria,"$22,524,614","$22,524,614",$0
3,"4,503",1992,Captain Ron,"$22,518,097","$22,518,097",$0
4,"4,504",1990,Hamlet,"$22,493,727","$20,710,451","$1,783,276"
5,"4,505",1979,The Warriors,"$22,490,000","$22,490,000",$0
6,"4,506",1980,My Bodyguard,"$22,482,952","$22,482,952",$0
7,"4,507",2008,Cassandra's Dream,"$22,478,138","$973,018","$21,505,120"
8,"4,508",2014,Winter's Tale,"$22,468,620","$12,600,231","$9,868,389"
9,"4,509",2018,Ba Li Gong Lue,"$22,446,966",$0,"$22,446,966"
10,"4,510",1997,Red Corner,"$22,442,815","$22,442,815",$0
11,"4,511",2009,Imagine That,"$22,438,144","$16,222,392","$6,215,752"
12,"4,512",2008,Disco,"$22,437,089",$0,"$22,437,089"
13,"4,513",2009,Chernaya Molniya,"$22,435,112",$0,"$22,435,112"
14,"4,514",1988,License to Drive,"$22,434,275","$22,434,275",$0
15,"4,515",2002,City by the Sea,"$22,433,915","$22,433,915",$0
16,"4,516",1998,He Got Game,"$22,411,948","$21,567,853","$844,095"
17,"4,517",2001,Two Can Play That Game,"$22,391,450","$22,235,901","$155,549"
18,"4,518",2018,Yun Nan Chong Gu Yunnan Valley,"$22,369,964","$101,516","$22,268,448"
19,"4,519",1999,At First Sight,"$22,365,133","$22,365,133",$0
20,"4,520",1994,Blue Chips,"$22,359,041","$22,359,041",$0
1,"4,521",1996,My Fellow Americans,"$22,331,846","$22,331,846",$0
2,"4,522",1968,The Lion in Winter,"$22,295,024","$22,295,024",$0
3,"4,523",1992,Leap of Faith,"$22,293,343","$22,293,343",$0
